route,ellipse_asset_class_group_desc,ellipse_asset_class_desc,ellipse_asset_count,fms_failures_count_6m_2020,count_service_affecting_faults_6m_2020,has_radar_percentage
LNW North,S&C (Signalling),Point Operating Equipment,441,621.0,151.0,55.78
LNW South,S&C (Signalling),Point Operating Equipment,361,530.0,161.0,37.12
LNW North,Boundary Measures,BOUNDARY SIDE,150,475.0,18.0,0.0
LNW South,Track,Track ID,147,467.0,44.0,0.0
LNW North,Conductor Rail Equipment,KE - Electrical Section,129,438.0,40.0,0.0
LNW South,Conductor Rail Equipment,KE - Electrical Section,151,419.0,86.0,0.0
LNW South,Track,S&C Unit,292,401.0,52.0,0.0
LNW North,Signalling,Sig - Colour,309,391.0,90.0,0.0
LNW North,Track,Track ID,114,386.0,31.0,0.0
LNW North,Signalling,TC - DC,282,348.0,138.0,37.23
LNW South,Boundary Measures,BOUNDARY SIDE,96,306.0,15.0,0.0
LNW South,Signalling,Axle Counter,243,277.0,105.0,0.0
LNW North,Signalling,Sig - Semaphore,147,246.0,28.0,0.0
LNW North,Level Crossing,Level Crossing,106,242.0,35.0,0.0
LNW South,Overhead Line Equipment,UI - OLE Structure,203,215.0,22.0,0.0
LNW South,Signalling,Sig - Colour,173,208.0,62.0,0.0
LNW North,Track,S&C Unit,175,203.0,15.0,0.57
LNW North,Telecoms,Telephone Non Lineside,126,190.0,3.0,0.0
LNW North,Signalling,Mechanical Lever Equipment,92,190.0,27.0,0.0
LNW South,Signalling,TC - DC,149,188.0,78.0,41.61
LNW South,Telecoms,Telephones-LS,160,185.0,5.0,0.0
LNW North,Overhead Line Equipment,UI - OLE Structure,151,175.0,25.0,0.0
LNW North,Telecoms,Telephones-LS,151,164.0,8.0,0.0
LNW South,Signalling,Intlok SS,141,157.0,46.0,0.0
LNW North,Access Points,Access Point,120,146.0,0.0,0.0
LNW South,Track,Underbridge,93,144.0,55.0,0.0
LNW South,Signalling,TPWS,101,127.0,15.0,0.0
LNW North,Telecoms,Telecoms HMI,90,127.0,1.0,0.0
LNW South,Level Crossing,Level Crossing,52,126.0,19.0,0.0
LNW North,Signalling,Sigcont NX,22,112.0,14.0,0.0
LNW South,Signalling,App Housing,95,111.0,3.0,0.0
LNW South,Boundary Measures,Access Point,92,107.0,0.0,0.0
LNW South,Distribution,Signalling Supply,80,102.0,7.0,0.0
LNW North,Signalling,TC - High Freq,75,101.0,33.0,6.67
LNW North,Signalling,Axle Counter,63,95.0,53.0,0.0
LNW North,Telecoms,Telecoms Power Supply,82,92.0,0.0,0.0
LNW North,Telecoms,Telecoms Concentrator,52,90.0,0.0,0.0
LNW South,Telecoms,Telecoms Radio Equipment,59,85.0,6.0,0.0
LNW North,Distribution,Signalling Supply,72,83.0,9.0,0.0
LNW North,Signalling,App Housing,78,82.0,8.0,0.0
