route,ellipse_asset_class_group_desc,ellipse_asset_class_desc,ellipse_asset_number,fms_failure_count_per_asset_6m_2020,count_service_affecting_faults_6m_2020,is_in_radar,group_class
LNW North,S&C (Signalling),Point Operating Equipment,1122561,9,0,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,866063,7,3,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,557657,7,3,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1987125,6,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,Signalling,TC - DC,1122076,6,4,False,Signalling - TC - DC
LNW North,S&C (Signalling),Point Operating Equipment,1122569,5,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1964610,5,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1696391,5,3,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122586,5,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,3169998,5,3,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122434,5,4,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1637827,5,2,False,S&C (Signalling) - Point Operating Equipment
LNW North,Signalling,TC - DC,1114607,5,2,True,Signalling - TC - DC
LNW South,S&C (Signalling),Point Operating Equipment,866066,5,3,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1792291,5,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1957114,5,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,761611,5,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,Signalling,TC - DC,1815188,5,0,False,Signalling - TC - DC
LNW North,S&C (Signalling),Point Operating Equipment,1455820,4,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122614,4,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,2665850,4,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,2749089,4,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122606,4,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1123232,4,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1456060,4,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1459299,4,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,Signalling,TC - DC,1118677,4,0,True,Signalling - TC - DC
LNW North,Signalling,TC - DC,2842374,4,1,False,Signalling - TC - DC
LNW South,S&C (Signalling),Point Operating Equipment,6450953,4,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,552886,4,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1538414,4,0,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,2493724,4,2,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,558896,4,4,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,839502,4,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,10681804,4,0,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,2829294,4,2,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1571214,4,0,False,S&C (Signalling) - Point Operating Equipment
LNW South,Signalling,TC - DC,564858,4,0,True,Signalling - TC - DC
LNW North,S&C (Signalling),Point Operating Equipment,1122492,3,2,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1459195,3,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,2640105,3,2,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1123234,3,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122737,3,2,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1458812,3,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1542812,3,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1542804,3,1,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1695040,3,2,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,2713592,3,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,2749220,3,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122609,3,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1964846,3,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1119912,3,1,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1411347,3,3,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1459054,3,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,2669242,3,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,18924856,3,2,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1411304,3,1,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1455839,3,2,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1782212,3,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1872553,3,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1412193,3,3,False,S&C (Signalling) - Point Operating Equipment
LNW North,Signalling,TC - DC,1452070,3,0,False,Signalling - TC - DC
LNW North,Signalling,TC - DC,1122164,3,1,True,Signalling - TC - DC
LNW North,Signalling,TC - DC,2768709,3,2,False,Signalling - TC - DC
LNW North,Signalling,TC - DC,1964940,3,1,False,Signalling - TC - DC
LNW North,Signalling,TC - DC,1452217,3,3,False,Signalling - TC - DC
LNW North,Signalling,TC - DC,1121318,3,0,True,Signalling - TC - DC
LNW North,Signalling,TC - DC,1115854,3,1,True,Signalling - TC - DC
LNW North,Signalling,TC - DC,2768654,3,0,False,Signalling - TC - DC
LNW North,Signalling,TC - DC,2768817,3,1,True,Signalling - TC - DC
LNW North,Signalling,TC - DC,1964942,3,2,False,Signalling - TC - DC
LNW North,Signalling,TC - DC,1713535,3,1,False,Signalling - TC - DC
LNW South,S&C (Signalling),Point Operating Equipment,2533451,3,0,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1974960,3,3,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1960419,3,0,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,2483349,3,0,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,2416326,3,0,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,2906322,3,3,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,2881722,3,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,761748,3,3,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,18737747,3,2,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,2504920,3,3,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,695246,3,2,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1769742,3,0,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,866062,3,0,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1853808,3,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,866091,3,1,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,761620,3,0,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,2447300,3,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,865974,3,2,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,765267,3,1,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,3277206,3,2,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,557668,3,2,True,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,560566,3,2,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1860370,3,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,2247727,3,0,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,1751502,3,1,False,S&C (Signalling) - Point Operating Equipment
LNW South,S&C (Signalling),Point Operating Equipment,839553,3,2,False,S&C (Signalling) - Point Operating Equipment
LNW South,Signalling,TC - DC,1815216,3,0,False,Signalling - TC - DC
LNW South,Signalling,TC - DC,563000,3,3,True,Signalling - TC - DC
LNW South,Signalling,TC - DC,565224,3,3,True,Signalling - TC - DC
LNW South,Signalling,TC - DC,7889913,3,3,False,Signalling - TC - DC
LNW South,Signalling,TC - DC,1711974,3,1,False,Signalling - TC - DC
LNW South,Signalling,TC - DC,840363,3,0,False,Signalling - TC - DC
LNW South,Signalling,TC - DC,884639,3,2,True,Signalling - TC - DC
LNW North,S&C (Signalling),Point Operating Equipment,1122470,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1123184,2,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1964590,2,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1413238,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1413265,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1123085,2,1,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1455834,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1413262,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,2067145,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122552,2,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,3169999,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,10161590,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,17006518,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,19101719,2,1,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1412381,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1123204,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1412976,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,2641729,2,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122676,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,9221784,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1826459,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,6777454,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,4829834,2,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1459046,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1413139,2,2,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122626,2,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,10336858,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,6870762,2,1,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1964691,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1123179,2,1,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122337,2,1,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1118907,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1122617,2,0,True,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1872547,2,0,False,S&C (Signalling) - Point Operating Equipment
LNW North,S&C (Signalling),Point Operating Equipment,1964811,2,2,True,S&C (Signalling) - Point Operating Equipment
