asset,attribute,date,records_count
SYNORTH_BAG2_t22,Circuit_Current,2020-01-01,3193
SYNORTH_BAG2_t22,Circuit_Current,2020-01-02,4761
SYNORTH_BAG2_t22,Circuit_Current,2020-01-03,4987
SYNORTH_BAG2_t22,Circuit_Current,2020-01-04,4672
SYNORTH_BAG2_t22,Circuit_Current,2020-01-05,3729
SYNORTH_BAG2_t22,Circuit_Current,2020-01-06,4848
SYNORTH_BAG2_t22,Circuit_Current,2020-01-07,5051
SYNORTH_BAG2_t22,Circuit_Current,2020-01-08,4855
SYNORTH_BAG2_t22,Circuit_Current,2020-01-09,4865
SYNORTH_BAG2_t22,Circuit_Current,2020-01-10,4955
SYNORTH_BAG2_t22,Circuit_Current,2020-01-11,4665
SYNORTH_BAG2_t22,Circuit_Current,2020-01-12,2944
SYNORTH_BAG2_t22,Circuit_Current,2020-01-13,4899
SYNORTH_BAG2_t22,Circuit_Current,2020-01-14,5203
SYNORTH_BAG2_t22,Circuit_Current,2020-01-15,4679
SYNORTH_BAG2_t22,Circuit_Current,2020-01-16,4927
SYNORTH_BAG2_t22,Circuit_Current,2020-01-17,5057
SYNORTH_BAG2_t22,Circuit_Current,2020-01-18,4594
SYNORTH_BAG2_t22,Circuit_Current,2020-01-19,2957
SYNORTH_BAG2_t22,Circuit_Current,2020-01-20,4897
SYNORTH_BAG2_t22,Circuit_Current,2020-01-21,5071
SYNORTH_BAG2_t22,Circuit_Current,2020-01-22,5145
SYNORTH_BAG2_t22,Circuit_Current,2020-01-23,4937
SYNORTH_BAG2_t22,Circuit_Current,2020-01-24,4928
SYNORTH_BAG2_t22,Circuit_Current,2020-01-25,3382
SYNORTH_BAG2_t22,Circuit_Current,2020-01-26,2952
SYNORTH_BAG2_t22,Circuit_Current,2020-01-27,4846
SYNORTH_BAG2_t22,Circuit_Current,2020-01-28,4416
SYNORTH_BAG2_t22,Circuit_Current,2020-01-29,5077
SYNORTH_BAG2_t22,Circuit_Current,2020-01-30,5027
SYNORTH_BAG2_t22,Circuit_Current,2020-01-31,5127
SYNORTH_BAG2_t22,Circuit_Current,2020-02-01,4561
SYNORTH_BAG2_t22,Circuit_Current,2020-02-02,3059
SYNORTH_BAG2_t22,Circuit_Current,2020-02-03,4862
SYNORTH_BAG2_t22,Circuit_Current,2020-02-04,5201
