ellipse_asset_number,fms_failures_count_6m_2020,count_service_affecting_faults_6m_2020,is_in_radar,total_work_orders
558896,4,4,True,13
1974960,3,3,False,13
2906322,3,3,False,16
761748,3,3,True,14
557657,7,3,False,13
866063,7,3,False,33
2504920,3,3,False,21
1976474,2,2,False,22
3277206,3,2,False,13
2829294,4,2,False,15
2493724,4,2,False,18
839552,2,2,False,17
557646,2,2,True,8
765266,2,2,True,17
18737747,3,2,False,12
2496852,2,2,False,9
548883,2,2,False,24
548880,2,2,False,26
560566,3,2,False,12
865974,3,2,False,26
10294213,2,2,False,21
557668,3,2,True,14
695246,3,2,False,12
839553,3,2,False,16
839502,4,1,False,19
839468,1,1,False,11
548036,2,1,False,13
2076986,1,1,False,11
1792291,5,1,False,29
2496853,1,1,False,11
6450953,4,1,False,10
19039327,1,1,False,18
17204745,1,1,False,20
1974955,2,1,True,7
557466,1,1,False,12
558427,1,1,True,13
7789656,1,1,False,23
1814381,1,1,True,17
10681826,1,1,False,15
865239,2,1,False,17
18671820,2,1,False,13
2641815,2,1,False,12
762240,2,1,False,10
17762504,1,1,False,13
18225786,1,1,False,11
2481815,1,1,False,10
2247734,1,1,False,23
765259,1,1,True,13
765375,1,1,True,13
548734,1,1,False,11
2116876,1,1,False,8
2247728,1,1,False,16
2483354,2,1,True,15
548723,1,1,False,14
1819837,2,1,False,14
7878570,1,1,False,12
18225792,1,1,False,12
2881725,2,1,False,12
761572,1,1,True,12
1976480,1,1,False,14
765356,2,1,True,14
557277,1,1,False,27
1957114,5,1,False,32
1653203,1,1,True,19
839480,1,1,True,23
547992,1,1,False,18
695245,1,1,False,6
19039328,2,1,False,18
839484,1,1,False,17
1653199,2,1,True,15
761499,1,1,True,16
547984,1,1,False,11
839515,1,1,False,17
557273,1,1,False,10
2447300,3,1,False,11
2407020,1,1,True,20
1861107,2,1,True,14
761731,1,1,True,16
2444336,2,1,True,10
557270,2,1,True,10
557590,1,1,False,12
1974956,2,1,True,6
2566407,2,1,True,31
548731,1,1,True,15
1857242,1,1,False,23
1751502,3,1,False,27
765368,2,1,False,10
1860370,3,1,False,20
2489551,1,1,True,15
552833,1,1,False,12
2523819,2,1,True,30
865966,1,1,False,12
866067,1,1,False,15
2483346,1,1,False,15
2494692,1,1,True,14
10160498,1,1,False,9
10277665,2,1,False,9
1975452,1,1,True,18
973321,1,1,False,16
9239513,1,1,False,27
765267,3,1,True,17
563844,1,1,False,11
548724,1,1,False,17
761611,5,1,False,14
557442,2,1,False,49
557490,1,1,False,13
1814411,1,1,True,16
10164213,2,1,False,16
1762396,2,1,True,15
1850159,1,1,True,10
17357658,2,1,False,14
1872795,1,1,False,9
2494955,1,1,True,14
2557330,1,1,True,15
2226440,2,1,False,7
765377,1,1,True,12
9240383,1,1,False,13
19039329,1,1,False,18
695395,1,1,True,12
1959628,1,1,False,19
2566257,1,1,False,10
1853808,3,1,False,14
2829295,1,1,False,12
765367,1,1,False,8
2881722,3,1,False,13
1441941,1,1,False,12
1814830,1,1,False,11
552886,4,1,False,9
557384,1,1,False,23
557132,1,0,False,30
761722,1,0,True,10
2523859,1,0,True,25
2494956,1,0,True,9
765321,1,0,True,14
761691,1,0,True,14
2878445,1,0,False,17
2904118,1,0,False,17
1762395,1,0,True,12
761741,1,0,True,14
765335,1,0,False,10
765349,1,0,False,15
1441911,1,0,False,9
1655155,1,0,False,10
1949010,1,0,False,15
2839740,1,0,False,11
3142065,1,0,False,13
1769886,1,0,False,26
2406037,1,0,True,12
2954464,1,0,True,25
18948330,1,0,False,12
1740965,1,0,False,16
1740971,1,0,False,11
557133,1,0,False,12
18737748,1,0,False,14
761604,1,0,True,10
765396,1,0,False,10
839507,1,0,False,16
1971300,1,0,True,20
1860368,1,0,False,19
839482,1,0,True,25
839551,1,0,False,16
1971296,1,0,True,13
2494948,1,0,True,16
2669609,1,0,False,22
1793560,1,0,False,12
7924150,1,0,True,9
7891031,1,0,False,11
2838669,1,0,True,14
2528539,1,0,True,22
765290,1,0,True,15
17336308,1,0,False,17
6440958,1,0,False,10
2523924,1,0,True,31
18808270,1,0,False,24
1792295,1,0,True,10
10330893,1,0,False,12
1814417,1,0,True,13
1715091,1,0,True,15
1653212,1,0,False,11
563719,1,0,False,22
557447,1,0,False,51
973329,1,0,False,8
765336,1,0,True,13
2528672,1,0,False,12
2829292,1,0,False,13
2562187,1,0,False,13
3176825,1,0,False,9
563842,1,0,True,10
557658,1,0,False,10
1769831,1,0,False,13
552717,1,0,False,26
1769596,1,0,False,17
563769,1,0,False,12
558515,1,0,True,12
548744,1,0,True,20
761704,1,0,True,14
1571202,1,0,False,7
1762393,1,0,True,12
1769541,1,0,False,33
2498605,1,0,False,11
2528536,1,0,True,28
2494954,1,0,True,13
2406043,1,0,True,17
2034122,1,0,False,9
1653208,1,0,True,10
1571209,1,0,False,6
1538440,1,0,True,26
547983,1,0,True,22
558680,1,0,False,12
866068,1,0,False,16
839443,1,0,False,16
1752504,1,0,True,9
761718,1,0,True,16
1860361,1,0,False,15
1653200,1,0,True,18
2467878,1,0,False,14
2444311,1,0,True,25
1861123,1,0,True,18
1653201,1,0,True,19
761746,1,0,True,10
557431,1,0,True,41
2557332,1,0,True,25
2523885,1,0,True,25
19039325,1,0,False,14
558416,1,0,True,10
1861147,1,0,True,15
2412525,1,0,True,18
557238,1,0,True,10
1957304,1,0,False,10
560591,1,0,False,12
18623820,1,0,False,22
3142060,1,0,False,16
2494947,1,0,True,13
1538414,4,0,False,11
1571214,4,0,False,7
10681804,4,0,False,19
866062,3,0,False,21
2483349,3,0,False,13
2533451,3,0,True,39
2416326,3,0,True,16
1769742,3,0,False,21
761620,3,0,False,13
2247727,3,0,False,16
1960419,3,0,True,24
1853813,2,0,False,13
866065,2,0,False,22
761706,2,0,True,14
2904113,2,0,True,16
2491367,2,0,False,10
557456,2,0,False,27
1860366,2,0,False,17
557676,2,0,True,10
2494116,2,0,True,14
1860369,2,0,False,24
2494694,2,0,True,28
1853811,2,0,False,13
839508,2,0,False,15
10276088,2,0,False,14
17336295,2,0,False,15
558693,2,0,False,22
761720,2,0,True,18
761727,2,0,True,15
2407029,2,0,True,11
1736867,2,0,False,12
1987592,2,0,False,18
1441821,2,0,False,13
1853810,2,0,False,13
1740959,2,0,False,15
1853814,2,0,False,17
1853809,2,0,False,14
2666319,2,0,True,10
2707643,2,0,False,17
2247733,2,0,False,26
761717,2,0,True,11
839506,2,0,False,18
765386,2,0,False,9
2481807,2,0,False,14
2505035,2,0,True,16
1853812,2,0,False,13
1814367,1,0,True,13
1571206,1,0,False,6
2713581,1,0,True,23
1715274,1,0,True,16
1850191,1,0,False,11
762231,1,0,False,10
765350,1,0,False,9
865238,1,0,False,17
2523821,1,0,True,30
1850157,1,0,True,13
839503,1,0,False,16
1971299,1,0,True,14
1814941,1,0,False,11
1872267,1,0,True,14
1960420,1,0,True,19
2239626,1,0,False,14
548756,1,0,True,13
2406035,1,0,True,11
2483355,1,0,True,14
1857216,1,0,False,17
2666201,1,0,False,8
6309701,1,0,False,12
761509,1,0,True,14
10275987,1,0,False,9
557620,1,0,True,20
761501,1,0,True,18
1741706,1,0,False,16
19039326,1,0,False,19
1853777,1,0,False,9
10276036,1,0,False,10
1825534,1,0,False,12
1769542,1,0,False,32
1653267,1,0,False,15
765326,1,0,True,10
761713,1,0,True,15
557208,1,0,False,9
548732,1,0,True,11
1715265,1,0,True,16
18693818,1,0,False,19
2522602,1,0,True,24
761681,1,0,True,13
2412524,1,0,True,19
552884,1,0,False,7
2443986,1,0,True,11
2491368,1,0,False,12
2491385,1,0,False,18
2491405,1,0,False,19
2566416,1,0,True,24
17336306,1,0,False,17
761744,1,0,True,17
1762394,1,0,True,11
2496857,1,0,False,8
2434924,1,0,False,10
2456311,1,0,True,25
2494945,1,0,True,13
1860363,1,0,False,25
1715090,1,0,True,15
1653136,1,0,False,8
1850156,1,0,True,18
552864,1,0,False,6
1814836,1,0,False,8
557457,1,0,False,23
2750621,1,0,False,10
761728,1,0,True,13
7919975,1,0,False,11
18225795,1,0,False,13
10164203,1,0,False,17
2717860,1,0,False,11
1976485,1,0,False,18
761605,1,0,False,13
557477,1,0,True,16
552887,1,0,False,9
557677,1,0,True,11
17336305,1,0,False,16
557645,1,0,True,8
10276065,1,0,False,13
10374156,1,0,False,18
765388,1,0,False,8
548768,1,0,False,9
563817,1,0,True,10
18737751,1,0,False,13
1860358,1,0,False,33
