ellipse_asset_number,fms_failures_count_6m_2020,count_service_affecting_faults_6m_2020,is_in_radar,total_work_orders,total alarms,Excess Current,COC Flick ,High Occupied Current ,Low Clear Current ,Unstable Clear Current ,Poor Shunt ,OCO Flick 
7889913,3,3,False,2.0,,,,,,,,
563000,3,3,True,6.0,59.0,5.0,13.0,8.0,5.0,8.0,11.0,9.0
565224,3,3,True,5.0,35.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
10283030,2,2,False,4.0,,,,,,,,
7439125,2,2,False,4.0,,,,,,,,
840570,2,2,False,4.0,,,,,,,,
558223,2,2,False,3.0,,,,,,,,
7439194,2,2,True,5.0,36.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0
884639,3,2,True,9.0,176.0,5.0,5.0,9.0,5.0,115.0,23.0,14.0
884689,1,1,True,5.0,38.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0
564828,1,1,False,,,,,,,,,
1815168,1,1,False,2.0,,,,,,,,
884673,1,1,True,7.0,172.0,5.0,5.0,11.0,5.0,94.0,36.0,16.0
2034022,1,1,False,3.0,,,,,,,,
18995063,1,1,False,1.0,,,,,,,,
10352669,2,1,False,2.0,,,,,,,,
7919985,1,1,False,2.0,,,,,,,,
4857865,1,1,False,,,,,,,,,
884691,1,1,True,2.0,38.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0
564867,1,1,True,,35.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2033737,1,1,True,1.0,50.0,2.0,11.0,11.0,2.0,5.0,9.0,10.0
7889919,1,1,False,2.0,,,,,,,,
9215287,1,1,False,2.0,,,,,,,,
884607,1,1,True,6.0,38.0,5.0,5.0,5.0,5.0,5.0,8.0,5.0
840443,1,1,True,4.0,29.0,2.0,3.0,8.0,2.0,3.0,7.0,4.0
565187,1,1,True,4.0,35.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
563013,1,1,True,1.0,50.0,5.0,8.0,5.0,6.0,12.0,9.0,5.0
884694,1,1,True,5.0,43.0,5.0,5.0,5.0,5.0,8.0,8.0,7.0
840343,1,1,True,4.0,45.0,2.0,5.0,15.0,2.0,10.0,5.0,6.0
886204,1,1,True,7.0,63.0,5.0,5.0,15.0,5.0,15.0,9.0,9.0
1711974,3,1,False,,,,,,,,,
884727,1,1,True,6.0,91.0,5.0,5.0,9.0,5.0,15.0,28.0,24.0
563463,1,1,True,2.0,268.0,5.0,55.0,13.0,5.0,24.0,157.0,9.0
9612226,1,1,False,2.0,,,,,,,,
1718778,1,1,True,2.0,94.0,6.0,14.0,8.0,6.0,9.0,38.0,13.0
2034031,1,1,True,3.0,77.0,3.0,31.0,12.0,2.0,7.0,14.0,8.0
2033741,1,1,True,3.0,68.0,2.0,33.0,9.0,2.0,10.0,7.0,5.0
6791510,1,1,False,2.0,,,,,,,,
7919946,1,1,False,2.0,,,,,,,,
9612035,1,1,False,2.0,,,,,,,,
4825563,1,1,True,1.0,47.0,5.0,6.0,5.0,5.0,15.0,5.0,6.0
840368,1,1,False,,,,,,,,,
884713,2,1,False,6.0,,,,,,,,
840569,1,1,True,,46.0,2.0,13.0,9.0,2.0,7.0,3.0,10.0
7439001,1,1,True,4.0,79.0,5.0,13.0,15.0,6.0,11.0,14.0,15.0
7438926,1,1,False,4.0,,,,,,,,
4825828,1,1,False,3.0,,,,,,,,
7919949,1,1,False,2.0,,,,,,,,
563215,1,1,True,1.0,35.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
7889947,1,1,False,1.0,,,,,,,,
9612113,1,1,False,2.0,,,,,,,,
560417,1,1,False,2.0,,,,,,,,
840545,1,1,False,,,,,,,,,
7889917,1,1,False,1.0,,,,,,,,
884652,2,1,True,6.0,555.0,6.0,5.0,216.0,5.0,12.0,249.0,62.0
17924133,1,1,False,6.0,,,,,,,,
884835,1,1,True,4.0,38.0,5.0,5.0,5.0,5.0,8.0,5.0,5.0
4825491,1,1,False,2.0,,,,,,,,
7923689,1,1,False,2.0,,,,,,,,
15009263,1,1,False,1.0,,,,,,,,
565012,1,1,True,4.0,11.0,0.0,2.0,3.0,0.0,2.0,3.0,1.0
884735,1,1,True,8.0,140.0,5.0,5.0,16.0,5.0,70.0,21.0,18.0
